Sector;Entidad;Beneficiario;ValorContrato
AGROPECUARIO;MINAGRICULTURA - GESTION GENERAL;BMC BOLSA MERCANTIL DE COLOMBIA SA;90000000000
TRABAJO;MINISTERIO DEL TRABAJO - GESTION GENERAL;CONSORCIO COLOMBIA MAYOR 2013;89506479650
DEFENSA Y POLICIA;POLICIA NACIONAL - SALUD;UNION TEMPORAL MEDIPOL 15;88800000000
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;CONCESIONARIA RUTA DEL CACAO SAS;87516973682
JUSTICIA Y DEL DERECHO;UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC;CONSORCIO FONDO DE ATENCION EN SALUD PPL 2017;86439000000
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;CONSORCIO IBINES FERREO;86148782136
DEFENSA Y POLICIA;POLICIA NACIONAL - SALUD;UNION TEMPORAL MEDIPOL 15;84239547140
HACIENDA;MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL;Banco República;77068201874
AGROPECUARIO;MINAGRICULTURA - GESTION GENERAL;ORGANIZACION DE ESTADOS IBEROAMERICANOS OEI;75269260579
INTERIOR;UNIDAD NACIONAL DE PROTECCION - UNP;UNION TEMPORAL ISVI SEVICOL;73791327441
INTERIOR;UNIDAD NACIONAL DE PROTECCION - UNP;UNION TEMPORAL PROTECCION COLOMBIA 4 16;70792401995
CIENCIA Y TECNOLOGIA;DEPARTAMENTO ADMINISTRATIVO DE LA CIENCIA- TECNOLOGIA E INNOVACION - GESTION GENERAL;FIDEICOMISOS PATRIMONIOS AUTONOMOS FIDUCIARIA LA PREVISORA SA;70103125560
DEFENSA Y POLICIA;MINISTERIO DE DEFENSA NACIONAL - EJERCITO;ROSOBORONEXPORT SA;67292662849-98
INCLUSION SOCIAL Y RECONCILIACION;INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF);DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA;64769468710
AGROPECUARIO;AGENCIA DE DESARROLLO RURAL - ADR;OFICINA DE LAS NACIONES UNIDAS CONTRA LA DROGA Y EL DELITO;63747409820
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;AUTOPISTAS DEL NORDESTE SAS;63211773697
DEFENSA Y POLICIA;MINISTERIO DE DEFENSA NACIONAL - SALUD;UNION TEMPORAL AUDIFARMA MEDEX;62421133024-58
JUSTICIA Y DEL DERECHO;UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC;CONSORCIO FONDO DE ATENCION EN SALUD PPL 2017;60000000000
PLANEACION;DEPARTAMENTO DE PLANEACION - GESTION GENERAL;FONDO FINANCIERO DE PROYECTOS DE DESARROLLO FONADE;60000000000
